id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tinggi_hujan,satuan,jumlah_banjir,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,2077,mm,43,kejadian,2020
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,2356,mm,75,kejadian,2021
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,1350,mm,28,kejadian,2022
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,1694,mm,29,kejadian,2023
5,32,JAWA BARAT,3271,KOTA BOGOR,4310,mm,10,kejadian,2020
6,32,JAWA BARAT,3271,KOTA BOGOR,4212,mm,18,kejadian,2021
7,32,JAWA BARAT,3271,KOTA BOGOR,3505,mm,10,kejadian,2022
8,32,JAWA BARAT,3271,KOTA BOGOR,3788,mm,12,kejadian,2023
9,32,JAWA BARAT,3273,KOTA BANDUNG,2419,mm,8,kejadian,2020
10,32,JAWA BARAT,3273,KOTA BANDUNG,2171,mm,2,kejadian,2021
11,32,JAWA BARAT,3273,KOTA BANDUNG,2311,mm,2,kejadian,2022
12,32,JAWA BARAT,3273,KOTA BANDUNG,1751,mm,1,kejadian,2023
13,32,JAWA BARAT,3278,KOTA TASIKMALAYA,121,mm,0,kejadian,2020
14,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3867,mm,2,kejadian,2021
15,32,JAWA BARAT,3278,KOTA TASIKMALAYA,124,mm,2,kejadian,2022
16,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1632,mm,6,kejadian,2023
